At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (b) (eV),Suffix,Uncertainty (c) (eV),References,
"=""107""","=""Bh LXXV""","=""+74""","=""Bohrium""","=""As""","=""[Ar].3d10.4s2.4p3""","=""(0,3/2)*<3/2>""","=""4p2 3P<0>""","=""(""","=""5830""","="")""","=""90""","=""L8672c99""",
"=""107""","=""Bh LXXVI""","=""+75""","=""Bohrium""","=""Ge""","=""[Ar].3d10.4s2.4p2""","=""3P0""","=""4p 2P*<1/2>""","=""(""","=""6650""","="")""","=""100""","=""L8672c99""",
"=""107""","=""Bh LXXVII""","=""+76""","=""Bohrium""","=""Ga""","=""[Ar].3d10.4s2.4p""","=""2P*<1/2>""","=""4s2 1S<0>""","=""(""","=""6760""","="")""","=""110""","=""L8672c99""",
"=""107""","=""Bh LXXVIII""","=""+77""","=""Bohrium""","=""Zn""","=""[Ar].3d10.4s2""","=""1S0""","=""4s 2S<1/2>""","=""(""","=""7040""","="")""","=""120""","=""L8672c99""",
"=""107""","=""Bh LXXIX""","=""+78""","=""Bohrium""","=""Cu""","=""[Ar].3d10.4s""","=""2S<1/2>""","=""3d10 1S<0>""","=""(""","=""7140""","="")""","=""120""","=""L8672c99""",
"=""107""","=""Bh LXXX""","=""+79""","=""Bohrium""","=""Ni""","=""[Ar].3d10""","=""1S0""","=""3d9 2D<5/2>""","=""(""","=""10930""","="")""","=""140""","=""L8672c99""",
"=""107""","=""Bh LXXXI""","=""+80""","=""Bohrium""","=""Co""","=""[Ar].3d9""","=""2D<5/2>""","=""3d8 3F<4>""","=""(""","=""11130""","="")""","=""150""","=""L8672c99""",
"=""107""","=""Bh LXXXII""","=""+81""","=""Bohrium""","=""Fe""","=""[Ar].3d8""","=""3F<4>""","=""3d7 4F<9/2>""","=""(""","=""11340""","="")""","=""160""","=""L8672c99""",
"=""107""","=""Bh LXXXIII""","=""+82""","=""Bohrium""","=""Mn""","=""[Ar].3d7""","=""4F<9/2>""","=""3d-4.3d+2 (0,4)<4>""","=""(""","=""11560""","="")""","=""170""","=""L8672c99""",
"=""107""","=""Bh LXXXIV""","=""+83""","=""Bohrium""","=""Cr""","=""[Ar].3d6""","=""(0,4)<4>""","=""3d-4.3d+ (0,5/2)<5/2>""","=""(""","=""11780""","="")""","=""190""","=""L8672c99""",
