At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (b) (eV),Suffix,Uncertainty (c) (eV),References,
"=""108""","=""Hs XLIII""","=""+42""","=""Hassium""","=""Dy""","=""[Cd].4f14.5p4""","=""3P<2>""","=""4f14.5p3 2P*<3/2>""","=""""","=""""","=""""","=""""","=""""",
"=""108""","=""Hs XLIV""","=""+43""","=""Hassium""","=""Tb""","=""[Cd].4f14.5p3""","=""2P*<3/2>""","=""4f14.5p2 3P<0>""","=""""","=""""","=""""","=""""","=""""",
"=""108""","=""Hs XLV""","=""+44""","=""Hassium""","=""Gd""","=""[Cd].4f14.5p2""","=""3P0""","=""4f14.5p 2P*<1/2>""","=""""","=""""","=""""","=""""","=""""",
"=""108""","=""Hs XLVI""","=""+45""","=""Hassium""","=""Eu""","=""[Cd].4f14.5p""","=""2P*<1/2>""","=""4f14 1S<0>""","=""""","=""""","=""""","=""""","=""""",
"=""108""","=""Hs XLVII""","=""+46""","=""Hassium""","=""Sm""","=""[Cd].4f14""","=""1S0""","=""4f14.5s 2S<1/2>""","=""""","=""""","=""""","=""""","=""""",
"=""108""","=""Hs XLVIII""","=""+47""","=""Hassium""","=""Pm""","=""[Kr].4d10.4f14.5s""","=""2S<1/2>""","=""4f14 1S<0>""","=""""","=""""","=""""","=""""","=""""",
"=""108""","=""Hs XLIX""","=""+48""","=""Hassium""","=""Nd""","=""[Kr].4d10.4f14""","=""1S0""","=""4f13 2F*<7/2>""","=""""","=""""","=""""","=""""","=""""",
"=""108""","=""Hs L""","=""+49""","=""Hassium""","=""Pr""","=""[Kr].4d10.4f13""","=""2F*<7/2>""","=""4f12""","=""""","=""""","=""""","=""""","=""""",
"=""108""","=""Hs LI""","=""+50""","=""Hassium""","=""Ce""","=""[Kr].4d10.4f12""","=""""","=""4f11 4I*<15/2>""","=""""","=""""","=""""","=""""","=""""",
"=""108""","=""Hs LII""","=""+51""","=""Hassium""","=""La""","=""[Kr].4d10.4f11""","=""4I*<15/2>""","=""4f10 5I<8>""","=""""","=""""","=""""","=""""","=""""",
"=""108""","=""Hs LIII""","=""+52""","=""Hassium""","=""Ba""","=""[Kr].4d10.4f10""","=""5I<8>""","=""4f9 6H*<15/2>""","=""""","=""""","=""""","=""""","=""""",
"=""108""","=""Hs LIV""","=""+53""","=""Hassium""","=""Cs""","=""[Kr].4d10.4f9""","=""6H*<15/2>""","=""4f8 7F<6>""","=""""","=""""","=""""","=""""","=""""",
"=""108""","=""Hs LV""","=""+54""","=""Hassium""","=""Xe""","=""[Kr].4d10.4f8""","=""7F<6>""","=""4f7 8S*<7/2>""","=""""","=""""","=""""","=""""","=""""",
"=""108""","=""Hs LVI""","=""+55""","=""Hassium""","=""I""","=""[Kr].4d10.4f7""","=""8S*<7/2>""","=""4f6 7F<0>""","=""""","=""""","=""""","=""""","=""""",
"=""108""","=""Hs LVII""","=""+56""","=""Hassium""","=""Te""","=""[Kr].4d10.4f6""","=""7F0""","=""4f5 6H*<5/2>""","=""""","=""""","=""""","=""""","=""""",
"=""108""","=""Hs LVIII""","=""+57""","=""Hassium""","=""Sb""","=""[Kr].4d10.4f5""","=""6H*<5/2>""","=""4f4 5I<4>""","=""""","=""""","=""""","=""""","=""""",
